gene_id,heritability,Chromosome
ENSG00000000419,1e-06,20
ENSG00000000457,1e-06,1
ENSG00000000460,1e-06,1
ENSG00000000938,0.676534,1
ENSG00000001036,0.037352,6
ENSG00000001084,0.999999,6
ENSG00000001167,1e-06,6
ENSG00000001460,0.999999,1
ENSG00000001461,0.057947,1
ENSG00000001561,0.999999,6
ENSG00000001617,1e-06,3
ENSG00000001626,1e-06,7
ENSG00000001629,1e-06,7
ENSG00000001630,0.941705,7
ENSG00000001631,0.772529,7
ENSG00000002016,0.088283,12
ENSG00000002079,0.663947,7
ENSG00000002330,0.536481,11
ENSG00000002549,0.08215,4
ENSG00000002587,0.868531,4
ENSG00000002726,1e-06,7
ENSG00000002745,0.920155,7
ENSG00000002746,1e-06,7
ENSG00000002822,1e-06,7
ENSG00000002834,0.491361,17
ENSG00000002919,0.999999,17
ENSG00000002933,1e-06,7
ENSG00000003147,0.040057,7
ENSG00000003249,0.999999,16
ENSG00000003393,0.999999,2
ENSG00000003400,0.417108,2
ENSG00000003402,0.73096,2
ENSG00000003436,0.645564,2
ENSG00000003509,0.278398,2
ENSG00000003756,1e-06,3
ENSG00000003987,0.127433,8
ENSG00000003989,1e-06,8
ENSG00000004059,0.223389,7
ENSG00000004139,1e-06,17
ENSG00000004399,1e-06,3
ENSG00000004455,1e-06,1
ENSG00000004468,0.999999,4
ENSG00000004478,0.717475,12
ENSG00000004487,0.999999,1
ENSG00000004534,1e-06,3
ENSG00000004660,0.999999,17
ENSG00000004700,0.221902,12
ENSG00000004776,0.439223,19
ENSG00000004777,0.915402,19
ENSG00000004779,0.521098,16
ENSG00000004838,0.717553,3
ENSG00000004864,0.004286,7
ENSG00000004866,0.697741,7
ENSG00000004897,1e-06,17
ENSG00000004975,0.622072,17
ENSG00000005007,0.649059,19
ENSG00000005020,1e-06,7
ENSG00000005059,0.503968,4
ENSG00000005075,0.846883,7
ENSG00000005100,0.999999,17
ENSG00000005102,1e-06,17
ENSG00000005156,0.620023,17
ENSG00000005175,0.999999,12
ENSG00000005187,1e-06,16
ENSG00000005194,0.999999,16
ENSG00000005238,0.317699,9
ENSG00000005249,0.401513,7
ENSG00000005339,0.072222,16
ENSG00000005379,0.626428,17
ENSG00000005381,0.999999,17
ENSG00000005436,1e-06,2
ENSG00000005448,0.371598,2
ENSG00000005469,0.102507,7
ENSG00000005471,0.999999,7
ENSG00000005483,0.999999,7
ENSG00000005486,0.006778,7
ENSG00000005513,1e-06,16
ENSG00000005700,0.229769,6
ENSG00000005801,0.261113,11
ENSG00000005810,0.913165,13
ENSG00000005812,1e-06,13
ENSG00000005844,0.127347,16
ENSG00000005882,0.560639,17
ENSG00000005884,0.55134,17
ENSG00000005961,0.094132,17
ENSG00000006007,0.029538,16
