"","GeneID","Chromosome","CausalVariance"
"1","ENSG00000223972",1,"NA"
"2","ENSG00000186092",1,"NA"
"3","ENSG00000177757",1,"1.17086385094552"
"4","ENSG00000225880",1,"0.00745455830010819"
"5","ENSG00000228794",1,"0.580382354648519"
"6","ENSG00000230368",1,"0"
"7","ENSG00000187634",1,"0"
"8","ENSG00000188976",1,"0"
"9","ENSG00000187961",1,"0.00679381799997275"
"10","ENSG00000187583",1,"0.0410727384692793"
"11","ENSG00000187642",1,"0"
"12","ENSG00000188290",1,"0.562048365268737"
"13","ENSG00000187608",1,"0.973000231795848"
"14","ENSG00000188157",1,"0"
"15","ENSG00000237330",1,"NA"
"16","ENSG00000131591",1,"0"
"17","ENSG00000207730",1,"NA"
"18","ENSG00000207607",1,"NA"
"19","ENSG00000198976",1,"NA"
"20","ENSG00000162571",1,"NA"
"21","ENSG00000186891",1,"0"
"22","ENSG00000186827",1,"0.00525321060178079"
"23","ENSG00000078808",1,"0.00456539138376806"
"24","ENSG00000176022",1,"0.106123768161919"
"25","ENSG00000184163",1,"0.0211197062366627"
"26","ENSG00000160087",1,"0"
"27","ENSG00000162572",1,"0"
"28","ENSG00000131584",1,"0.404222393277492"
"29","ENSG00000169972",1,"0"
"30","ENSG00000127054",1,"0.380389475714834"
"31","ENSG00000169962",1,"0.0340823508350708"
"32","ENSG00000107404",1,"0.365244696285599"
"33","ENSG00000162576",1,"1.30017807230886"
"34","ENSG00000175756",1,"0.359678504634091"
"35","ENSG00000221978",1,"0"
"36","ENSG00000242485",1,"0.219883093381581"
"37","ENSG00000235098",1,"0.248799552053824"
"38","ENSG00000205116",1,"NA"
"39","ENSG00000179403",1,"0.385941917517097"
"40","ENSG00000215915",1,"0"
"41","ENSG00000160072",1,"0"
"42","ENSG00000197785",1,"0.345466062602985"
"43","ENSG00000205090",1,"NA"
"44","ENSG00000160075",1,"0"
"45","ENSG00000228594",1,"0"
"46","ENSG00000197530",1,"0"
"47","ENSG00000189409",1,"0.491463466950555"
"48","ENSG00000248333",1,"0.0179781334738774"
"49","ENSG00000189339",1,"2.18938620738755"
"50","ENSG00000008128",1,"0"
"51","ENSG00000215790",1,"0.609167370177162"
"52","ENSG00000008130",1,"0.338786157573665"
"53","ENSG00000078369",1,"0"
"54","ENSG00000169885",1,"0.314432774550714"
"55","ENSG00000178821",1,"0.323723119698572"
