"","GeneID","Chromosome","CausalVariance"
"1","ENSG00000223972",1,"NA"
"2","ENSG00000186092",NA,NA
"3","ENSG00000177757",1,"0"
"4","ENSG00000225880",1,"0.534621284977472"
"5","ENSG00000228794",1,"0.519729170652918"
"6","ENSG00000230368",1,"0.511549277513281"
"7","ENSG00000187634",1,"0.500754484397114"
"8","ENSG00000188976",1,"0.492971343933398"
"9","ENSG00000187961",1,"0.487956196993024"
"10","ENSG00000187583",1,"0.478101630357778"
"11","ENSG00000187642",1,"0.468630472427922"
"12","ENSG00000188290",1,"0.446859164340593"
"13","ENSG00000187608",1,"0.440764599561294"
"14","ENSG00000188157",1,"0.429371047416435"
"15","ENSG00000237330",NA,NA
"16","ENSG00000131591",1,"0.413320416805023"
"17","ENSG00000207730",NA,NA
"18","ENSG00000207607",NA,NA
"19","ENSG00000198976",NA,NA
"20","ENSG00000162571",NA,NA
"21","ENSG00000186891",1,"0.385924129315243"
"22","ENSG00000186827",1,"0.378593323901726"
"23","ENSG00000078808",1,"0.371553792146731"
"24","ENSG00000176022",1,"0.37155379215871"
"25","ENSG00000184163",1,"0"
"26","ENSG00000160087",1,"0.360830741769175"
"27","ENSG00000162572",1,"0"
"28","ENSG00000131584",1,"0"
"29","ENSG00000169972",1,"0"
"30","ENSG00000127054",1,"0"
"31","ENSG00000169962",1,"0"
"32","ENSG00000107404",1,"0.334320418034998"
"33","ENSG00000162576",1,"0.325676151167446"
"34","ENSG00000175756",1,"0.32479363057919"
"35","ENSG00000221978",1,"0.329410717938929"
"36","ENSG00000242485",1,"0.334751835220192"
"37","ENSG00000235098",1,"0.334787777893956"
"38","ENSG00000205116",NA,NA
"39","ENSG00000179403",1,"0.338005853883678"
"40","ENSG00000215915",1,"0.333499740541926"
"41","ENSG00000160072",1,"0.333485880485948"
"42","ENSG00000197785",1,"0.329477333828278"
"43","ENSG00000205090",NA,NA
"44","ENSG00000160075",1,"0.315357496862584"
"45","ENSG00000228594",1,"0"
"46","ENSG00000197530",1,"0"
"47","ENSG00000189409",1,"0"
"48","ENSG00000248333",1,"0"
"49","ENSG00000189339",1,"0"
"50","ENSG00000008128",1,"0"
"51","ENSG00000215790",1,"0"
"52","ENSG00000008130",1,"0"
"53","ENSG00000078369",1,"0"
"54","ENSG00000169885",1,"0"
"55","ENSG00000178821",1,"0"
"56","ENSG00000187730",NA,NA
"57","ENSG00000067606",1,"0"
"58","ENSG00000157933",1,"0"
