TargetID,Heritability_Score,Chromosome
ENSG00000000419,-0.000383,20
ENSG00000000457,0.096129,1
ENSG00000000460,-0.024572,1
ENSG00000000938,-0.003512,1
ENSG00000001036,0.037474,6
ENSG00000001084,0.110657,6
ENSG00000001167,-0.10194,6
ENSG00000001460,0.09168,1
ENSG00000001461,0.079328,1
ENSG00000001561,-0.051554,6
ENSG00000001617,-0.030443,3
ENSG00000001629,0.04878,7
ENSG00000001630,0.006442,7
ENSG00000001631,0.082425,7
ENSG00000002016,0.25807,12
ENSG00000002330,0.057855,11
ENSG00000002549,0.10332,4
ENSG00000002587,-5.5e-05,4
ENSG00000002726,0.137131,7
ENSG00000002745,0.034137,7
ENSG00000002822,0.146558,7
ENSG00000002834,0.017756,17
ENSG00000002919,-0.040717,17
ENSG00000002933,0.188922,7
ENSG00000003147,0.056143,7
ENSG00000003249,-0.045431,16
ENSG00000003393,0.292538,2
ENSG00000003400,0.007752,2
ENSG00000003402,-0.054348,2
ENSG00000003436,0.049323,2
ENSG00000003509,0.030049,2
ENSG00000003987,-0.091831,8
ENSG00000003989,-0.08152,8
ENSG00000004059,-0.069813,7
ENSG00000004139,-0.010945,17
ENSG00000004399,0.139445,3
ENSG00000004455,0.007333,1
ENSG00000004478,0.159967,12
ENSG00000004487,-0.0345,1
ENSG00000004534,0.263997,3
ENSG00000004660,-0.015099,17
ENSG00000004700,0.132453,12
ENSG00000004776,-0.051559,19
ENSG00000004777,0.310576,19
ENSG00000004779,0.130488,16
ENSG00000004838,-0.027021,3
ENSG00000004864,0.207253,7
ENSG00000004897,0.111396,17
ENSG00000004975,-0.03104,17
ENSG00000005007,0.03421,19
ENSG00000005020,0.028195,7
ENSG00000005059,0.100286,4
ENSG00000005075,-0.046042,7
ENSG00000005100,0.146392,17
ENSG00000005102,0.33772,17
ENSG00000005156,0.337223,17
ENSG00000005175,0.04964,12
ENSG00000005187,0.073015,16
ENSG00000005238,-0.047145,9
ENSG00000005249,-0.059302,7
ENSG00000005339,-0.12505,16
ENSG00000005379,-0.013834,17
ENSG00000005381,0.031301,17
ENSG00000005436,-0.043888,2
ENSG00000005448,-0.02116,2
ENSG00000005469,0.206144,7
ENSG00000005471,0.28251,7
ENSG00000005483,0.018837,7
ENSG00000005513,0.238914,16
ENSG00000005700,0.132432,6
ENSG00000005801,0.22747,11
ENSG00000005810,0.106813,13
ENSG00000005812,-0.008557,13
ENSG00000005844,-0.009371,16
ENSG00000005882,0.120346,17
ENSG00000005884,0.045219,17
ENSG00000005961,-0.025492,17
ENSG00000006007,0.023308,16
ENSG00000006015,-0.079632,19
ENSG00000006025,0.019503,17
ENSG00000006042,0.00841,17
ENSG00000006118,0.040416,11
ENSG00000006125,0.082169,17
ENSG00000006194,0.074805,16
ENSG00000006210,0.053712,16
ENSG00000006282,0.888014,17
ENSG00000006283,0.170908,17
ENSG00000006327,-0.093477,16
ENSG00000006432,-0.048783,14
ENSG00000006453,0.169488,7
ENSG00000006459,0.007969,7
ENSG00000006530,0.067223,7
ENSG00000006555,0.167013,1
ENSG00000006576,-0.017145,7
ENSG00000006607,0.168619,2
ENSG00000006625,0.086429,7
ENSG00000006638,0.167654,19
ENSG00000006652,0.131659,7
ENSG00000006659,0.152724,19
ENSG00000006695,0.320855,17
ENSG00000006712,0.107279,19
ENSG00000006715,0.209178,7
ENSG00000006740,0.239332,17
ENSG00000006744,0.140641,17
ENSG00000006747,0.032639,7
ENSG00000006831,-0.088006,12
ENSG00000006837,0.066969,5
ENSG00000007038,-0.053416,16
ENSG00000007047,0.049109,19
ENSG00000007129,0.090712,19
ENSG00000007168,-0.123577,17
ENSG00000007171,0.389412,17
ENSG00000007237,0.277177,17
ENSG00000007255,0.009701,19
ENSG00000007264,0.01541,19
ENSG00000007312,0.021358,17
ENSG00000007314,-0.008244,17
ENSG00000007341,0.302287,1
ENSG00000007376,-0.000667,16
ENSG00000007384,0.067525,16
ENSG00000007392,-0.012878,16
ENSG00000007402,0.04346,3
ENSG00000007516,-0.008211,16
ENSG00000007541,0.057594,16
ENSG00000007866,0.181207,6
ENSG00000007923,0.173972,1
ENSG00000007944,-0.000781,6
ENSG00000007968,0.153501,1
ENSG00000008018,0.241413,6
ENSG00000008083,0.095459,6
ENSG00000008118,0.042974,1
ENSG00000008128,-0.036648,1
ENSG00000008130,-0.027412,1
ENSG00000008226,-0.057068,3
ENSG00000008256,0.125,7
ENSG00000008277,-0.029799,7
ENSG00000008282,0.05243,7
ENSG00000008283,-0.003504,17
ENSG00000008294,0.05684,17
ENSG00000008300,-0.003011,3
ENSG00000008311,0.012608,7
ENSG00000008323,-0.136284,12
ENSG00000008324,-0.021953,3
ENSG00000008382,-0.025137,19
ENSG00000008394,0.001752,12
ENSG00000008405,0.192098,12
ENSG00000008441,0.058681,19
ENSG00000008513,-0.054796,8
ENSG00000008516,-0.097566,16
ENSG00000008517,-0.095307,16
ENSG00000008710,0.038897,16
ENSG00000008838,0.266949,17
ENSG00000008853,-0.101281,8
ENSG00000008869,-0.044049,2
ENSG00000008952,-0.047926,3
ENSG00000008988,0.225952,8
ENSG00000009307,-0.003819,1
ENSG00000009335,-0.034886,7
ENSG00000009413,-0.054202,6
ENSG00000009724,0.062132,1
ENSG00000009780,-0.054576,1
ENSG00000009790,0.189172,1
ENSG00000009830,0.176013,14
ENSG00000009844,0.068788,6
ENSG00000009954,-0.151709,7
ENSG00000010017,-0.010368,6
ENSG00000010030,0.112073,6
ENSG00000010072,0.009517,1
ENSG00000010165,0.051804,1
ENSG00000010219,0.332011,12
ENSG00000010256,-0.02179,3
ENSG00000010270,0.020585,7
ENSG00000010278,0.155157,12
ENSG00000010292,0.316763,12
ENSG00000010295,-0.005668,12
ENSG00000010310,0.044088,19
ENSG00000010318,-0.027567,3
ENSG00000010322,0.182067,3
ENSG00000010327,-0.054882,3
ENSG00000010361,-0.048021,19
ENSG00000010539,0.056941,16
ENSG00000010610,0.007902,12
ENSG00000010626,0.568311,12
ENSG00000010704,0.001077,6
ENSG00000010803,0.137272,1
ENSG00000010810,0.055149,6
ENSG00000010818,-0.114261,6
ENSG00000011007,0.007154,1
ENSG00000011009,-0.046477,1
ENSG00000011021,0.053862,1
ENSG00000011028,-0.056024,17
ENSG00000011083,-0.08168,5
ENSG00000011105,-0.058475,12
ENSG00000011114,0.037347,14
ENSG00000011132,0.057843,19
ENSG00000011143,0.000532,17
ENSG00000011198,-0.020183,3
ENSG00000011258,0.324352,17
ENSG00000011260,0.000975,17
ENSG00000011275,0.167052,7
ENSG00000011295,0.218957,17
ENSG00000011304,-0.027773,19
ENSG00000011332,-0.071894,19
ENSG00000011376,0.477326,3
ENSG00000011405,-0.074418,11
ENSG00000011422,0.100603,19
ENSG00000011426,0.183888,7
ENSG00000011451,0.050627,19
ENSG00000011454,0.190417,9
ENSG00000011478,0.246538,19
ENSG00000011485,0.029274,19
ENSG00000011523,0.060049,2
ENSG00000011566,-0.017591,2
ENSG00000011590,0.03448,19
ENSG00000011600,0.014075,19
ENSG00000011638,0.221418,16
ENSG00000012048,0.108235,17
ENSG00000012061,-0.057567,19
ENSG00000012124,0.033061,19
ENSG00000012223,0.070135,3
ENSG00000012232,-0.011415,8
ENSG00000012660,9.7e-05,6
ENSG00000012779,0.038805,10
ENSG00000012822,0.172748,12
ENSG00000012963,0.165674,14
