PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
TCGA-BRCA.TUMOR	./BRCA//TCGA-BRCA.TUMOR/TCGA-BRCA.TUMOR.psiTPTE22_387590.wgt.RDat	psiTPTE22	22	17082801	17179521	0.04021	rs5748593	-2.188	rs9604967	 0.027659	 -4.77	-1.22727	 31	 31	blup	0.034	1.2e-07	 0.60320	5.46e-01
TCGA-BRCA.TUMOR	./BRCA//TCGA-BRCA.TUMOR/TCGA-BRCA.TUMOR.CECR7_100130418.wgt.RDat	CECR7	22	17517460	17539682	0.21709	rs17806634	-2.153	rs5748845	 0.125467	 10.00	-0.18149	 60	 20	enet	0.23	1.2e-46	-0.00254	9.98e-01
TCGA-BRCA.TUMOR	./BRCA//TCGA-BRCA.TUMOR/TCGA-BRCA.TUMOR.IL17RA_23765.wgt.RDat	IL17RA	22	17565849	17591387	0.10990	rs9606615	 1.289	rs2895332	 0.056646	 -7.70	 0.23839	 76	 12	enet	0.1	1.4e-20	-0.12921	8.97e-01
TCGA-BRCA.TUMOR	./BRCA//TCGA-BRCA.TUMOR/TCGA-BRCA.TUMOR.CECR1_51816.wgt.RDat	CECR1	22	17660192	17702738	0.05276	rs16982255	-1.983	rs17807317	 0.018238	  6.09	-1.02263	 79	 11	enet	0.041	6e-09	-1.14904	2.51e-01
TCGA-BRCA.TUMOR	./BRCA//TCGA-BRCA.TUMOR/TCGA-BRCA.TUMOR.BCL2L13_23786.wgt.RDat	BCL2L13	22	18111682	18211987	0.02176	rs5992751	-2.495	rs17207051	 0.017009	 -4.31	-1.57790	 98	  1	top1	0.017	0.00015	 1.57790	1.15e-01
TCGA-BRCA.TUMOR	./BRCA//TCGA-BRCA.TUMOR/TCGA-BRCA.TUMOR.FLJ41941_100192420.wgt.RDat	FLJ41941	22	18512151	18520734	0.05972	rs385130	-1.654	rs9605498	 0.047312	 -6.35	-0.53311	 72	  5	lasso	0.058	5.7e-12	 1.00520	3.15e-01
TCGA-BRCA.TUMOR	./BRCA//TCGA-BRCA.TUMOR/TCGA-BRCA.TUMOR.DGCR6_8214.wgt.RDat	DGCR6	22	18893541	18899600	0.17692	rs1814288	-1.647	rs17742907	 0.154589	-11.12	-0.10777	 27	  8	enet	0.16	2.7e-31	 0.19909	8.42e-01
TCGA-BRCA.TUMOR	./BRCA//TCGA-BRCA.TUMOR/TCGA-BRCA.TUMOR.PRODH_5625.wgt.RDat	PRODH	22	18900295	18924066	0.05061	rs1814288	-1.647	rs17742907	 0.018910	 -4.38	-0.10777	 40	 40	blup	0.03	6e-07	-0.01152	9.91e-01
TCGA-BRCA.TUMOR	./BRCA//TCGA-BRCA.TUMOR/TCGA-BRCA.TUMOR.DGCR9_25787.wgt.RDat	DGCR9	22	19005347	19007760	0.05298	rs2075198	-1.584	rs6518522	 0.040856	 -6.25	 1.47136	 55	 55	blup	0.044	2.3e-09	-0.93713	3.49e-01
TCGA-BRCA.TUMOR	./BRCA//TCGA-BRCA.TUMOR/TCGA-BRCA.TUMOR.DGCR10_26222.wgt.RDat	DGCR10	22	19010137	19011062	0.07293	rs2075198	-1.584	rs2871006	 0.088500	 -8.43	 0.57355	 56	 10	enet	0.1	7.2e-20	-1.03860	2.99e-01
TCGA-BRCA.TUMOR	./BRCA//TCGA-BRCA.TUMOR/TCGA-BRCA.TUMOR.DGCR2_9993.wgt.RDat	DGCR2	22	19023795	19109967	0.02765	rs17743887	 1.848	rs8139221	 0.012673	  4.12	 0.92492	 88	 88	blup	0.018	0.00012	 1.03666	3.00e-01
TCGA-BRCA.TUMOR	./BRCA//TCGA-BRCA.TUMOR/TCGA-BRCA.TUMOR.DGCR11_25786.wgt.RDat	DGCR11	22	19033675	19035888	0.09885	rs10483100	 1.545	rs1557847	 0.069907	  8.10	 1.03825	 46	 15	enet	0.099	1.6e-19	 0.73282	4.64e-01
TCGA-BRCA.TUMOR	./BRCA//TCGA-BRCA.TUMOR/TCGA-BRCA.TUMOR.DGCR14_8220.wgt.RDat	DGCR14	22	19117793	19132190	0.02875	rs17743887	 1.848	rs5747997	 0.002260	 -3.74	-1.29940	 41	 41	blup	0.011	0.0019	 2.10707	3.51e-02
