PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
TCGA-OV.TUMOR	data/TCGA-OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.FAM20C_56975.wgt.RDat	FAM20C	7	192969	300711	0.1040	rs7803082	-3.128	rs12669123	 0.006533	 3.33	-2.938	 35	  1	top1	0.0065	0.11	-2.93800	0.00330
TCGA-OV.TUMOR	data/TCGA-OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.GPER_2852.wgt.RDat	GPER	7	1121844	1133451	0.0636	rs12701834	-3.771	rs7788231	 0.038061	 3.95	-1.206	 63	  3	lasso	0.041	0.00083	-1.98235	0.04744
TCGA-OV.TUMOR	data/TCGA-OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.ZFAND2A_90637.wgt.RDat	ZFAND2A	7	1192544	1199855	0.1862	rs11763865	-2.599	rs2960839	 0.197791	 7.31	 0.966	 55	 55	blup	0.21	2.8e-14	 1.20886	0.22672
TCGA-OV.TUMOR	data/TCGA-OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.RNF216L_441191.wgt.RDat	RNF216L	7	5013616	5037798	0.1668	rs11983452	 2.379	rs2965031	 0.027385	 4.40	 0.439	 43	 13	enet	0.13	4.7e-09	-0.42347	0.67195
TCGA-OV.TUMOR	data/TCGA-OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.PMS2CL_441194.wgt.RDat	PMS2CL	7	6749757	6793492	0.0826	rs3801035	 2.634	rs17789894	 0.038830	-3.80	 2.456	 22	  8	enet	0.069	1.9e-05	-1.41355	0.15749
TCGA-OV.TUMOR	data/TCGA-OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.C7orf28B_221960.wgt.RDat	C7orf28B	7	6838572	6865861	0.0817	rs11762330	-1.763	rs10242703	 0.098462	-5.11	 0.546	  6	  1	top1	0.098	3.5e-07	-0.54600	0.58507
TCGA-OV.TUMOR	data/TCGA-OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.THSD7A_221981.wgt.RDat	THSD7A	7	11414173	11871824	0.3072	rs16869985	-3.308	rs10260632	 0.195578	 7.13	-2.895	383	  1	top1	0.2	2.8e-13	-2.89500	0.00379
TCGA-OV.TUMOR	data/TCGA-OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.VWDE_221806.wgt.RDat	VWDE	7	12370509	12443852	0.2840	rs17165995	 2.472	rs4721084	 0.104741	 5.30	-1.515	109	  5	enet	0.11	7e-08	-1.70604	0.08800
TCGA-OV.TUMOR	data/TCGA-OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.ISPD_729920.wgt.RDat	ISPD	7	16127152	16460947	0.0817	rs1295135	 3.341	rs10244600	-0.002849	 3.06	 0.379	214	214	blup	0.013	0.04	 2.54825	0.01083
TCGA-OV.TUMOR	data/TCGA-OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.RAPGEF5_9771.wgt.RDat	RAPGEF5	7	22157909	22396533	0.0903	rs1981601	-3.152	rs7785685	-0.003454	-3.40	 0.918	247	247	blup	0.012	0.048	-0.78091	0.43486
TCGA-OV.TUMOR	data/TCGA-OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.DFNA5_1687.wgt.RDat	DFNA5	7	24737974	24797639	0.1245	rs6942812	-2.722	rs1476520	 0.038461	 4.31	-1.245	 91	  1	top1	0.038	0.0012	-1.24500	0.21313
TCGA-OV.TUMOR	data/TCGA-OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.DPY19L1_23333.wgt.RDat	DPY19L1	7	34961081	35077653	0.0718	rs4723388	-2.324	rs328928	 0.022927	-3.79	-1.411	 62	 62	blup	0.03	0.0038	 1.52728	0.12669
TCGA-OV.TUMOR	data/TCGA-OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.STARD3NL_83930.wgt.RDat	STARD3NL	7	38217933	38270269	0.0716	rs10261592	-2.226	rs12701609	 0.058456	 4.39	-0.616	 51	  1	top1	0.058	8.3e-05	-0.61600	0.53789
TCGA-OV.TUMOR	data/TCGA-OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.LOC349114_349114.wgt.RDat	LOC349114	7	39773167	39834221	0.0750	rs13438650	 2.296	rs2158549	 0.041361	 3.67	 0.638	 34	  1	top1	0.041	0.00084	 0.63800	0.52347
TCGA-OV.TUMOR	data/TCGA-OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.C7orf10_79783.wgt.RDat	C7orf10	7	40174575	40900357	0.1143	rs6957725	-2.592	rs6974725	 0.004424	 4.06	 0.387	236	 25	enet	0.036	0.0017	 0.00869	0.99306
TCGA-OV.TUMOR	data/TCGA-OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.C7orf44_55744.wgt.RDat	C7orf44	7	43648086	43769083	0.2037	rs10248844	-1.266	rs2330918	 0.099071	 5.98	 0.435	 74	 74	blup	0.13	3.4e-09	-0.31515	0.75264
TCGA-OV.TUMOR	data/TCGA-OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.C7orf65_401335.wgt.RDat	C7orf65	7	47694842	47701246	0.0377	rs4720608	 2.478	rs10233927	 0.003092	 3.20	-0.153	 43	 43	blup	0.028	0.0051	 0.89410	0.37127
TCGA-OV.TUMOR	data/TCGA-OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.GBAS_2631.wgt.RDat	GBAS	7	56032296	56067871	0.0726	rs35881493	 1.445	rs17664478	 0.032838	-3.24	-1.436	 48	 48	blup	0.042	0.00076	 0.33821	0.73521
TCGA-OV.TUMOR	data/TCGA-OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.SUMF2_25870.wgt.RDat	SUMF2	7	56131917	56148364	0.0855	rs13226516	 1.723	rs13238899	 0.018888	-3.24	 1.216	 33	  1	top1	0.019	0.018	-1.21600	0.22398
TCGA-OV.TUMOR	data/TCGA-OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.CHCHD2_51142.wgt.RDat	CHCHD2	7	56169268	56174187	0.0794	rs13226516	 1.723	rs11765364	 0.047952	 4.29	 1.162	 33	  1	top1	0.048	0.00034	 1.16200	0.24524
TCGA-OV.TUMOR	data/TCGA-OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.LOC168474_168474.wgt.RDat	LOC168474	7	64310071	64314178	0.1632	rs34725314	 1.721	rs7804955	 0.190773	-6.85	-0.914	 34	  1	top1	0.19	5.8e-13	 0.91400	0.36072
TCGA-OV.TUMOR	data/TCGA-OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.ZNF117_51351.wgt.RDat	ZNF117	7	64434830	64467121	0.1494	rs2419083	 0.910	rs2140724	 0.095646	-6.03	 0.274	 26	 10	enet	0.12	2.2e-08	-0.52744	0.59788
TCGA-OV.TUMOR	data/TCGA-OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.ZNF92_168374.wgt.RDat	ZNF92	7	64838768	64865997	0.0959	rs13238060	 1.089	rs6460248	 0.021850	 3.41	-0.007	 36	 36	blup	0.024	0.0091	-0.27636	0.78227
TCGA-OV.TUMOR	data/TCGA-OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.VKORC1L1_154807.wgt.RDat	VKORC1L1	7	65338257	65423532	0.0720	rs34466769	 1.767	rs35735127	 0.071184	-4.42	 1.633	 41	  1	top1	0.071	1.5e-05	-1.63300	0.10247
TCGA-OV.TUMOR	data/TCGA-OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.GUSB_2990.wgt.RDat	GUSB	7	65425675	65447246	0.0502	rs34466769	 1.767	rs12538430	 0.001267	 2.94	-1.048	 37	 37	blup	0.02	0.015	-1.50737	0.13172
TCGA-OV.TUMOR	data/TCGA-OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.ASL_435.wgt.RDat	ASL	7	65540776	65558321	0.0621	rs313813	 1.511	rs313799	 0.042189	-3.80	 1.429	 21	  1	top1	0.042	0.00075	-1.42900	0.15300
TCGA-OV.TUMOR	data/TCGA-OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.CRCP_27297.wgt.RDat	CRCP	7	65579805	65619551	0.1025	rs7779258	-1.879	rs160652	 0.101483	-5.13	 1.437	 36	  7	enet	0.1	1.6e-07	-0.90589	0.36500
