PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
TCGA-PRAD.TUMOR	data/Updated_PRAD.TUMOR/TCGA-PRAD.TUMOR/TCGA-PRAD.TUMOR.CCNB1IP1_57820.wgt.RDat	CCNB1IP1	14	20779530	20801457	0.0482	rs3093872	-3.53	rs8003958	 0.006832	0.000	-0.972	 73	 73	blup	0.013	0.014	-2.96001	0.003076
TCGA-PRAD.TUMOR	data/Updated_PRAD.TUMOR/TCGA-PRAD.TUMOR/TCGA-PRAD.TUMOR.PARP2_10038.wgt.RDat	PARP2	14	20811773	20826062	0.0268	NA	   NA	NA	       NA	   NA	    NA	  0	  0	top1	0.0053	0.081	      NA	      NA
TCGA-PRAD.TUMOR	data/Updated_PRAD.TUMOR/TCGA-PRAD.TUMOR/TCGA-PRAD.TUMOR.OSGEP_55644.wgt.RDat	OSGEP	14	20915217	20923198	0.1415	rs1760931	-2.53	rs4280143	 0.045168	0.000	 0.217	 95	 95	blup	0.11	3.9e-11	-0.36169	0.717586
TCGA-PRAD.TUMOR	data/Updated_PRAD.TUMOR/TCGA-PRAD.TUMOR/TCGA-PRAD.TUMOR.PNP_4860.wgt.RDat	PNP	14	20937542	20945246	0.1762	rs1760931	-2.18	rs1760955	 0.089942	0.000	-0.288	 84	 19	enet	0.12	1.9e-12	 1.14724	0.251284
TCGA-PRAD.TUMOR	data/Updated_PRAD.TUMOR/TCGA-PRAD.TUMOR/TCGA-PRAD.TUMOR.METT11D1_64745.wgt.RDat	METT11D1	14	21457965	21465192	0.1037	NA	   NA	NA	       NA	   NA	    NA	  0	  0	top1	0.11	1.6e-11	      NA	      NA
TCGA-PRAD.TUMOR	data/Updated_PRAD.TUMOR/TCGA-PRAD.TUMOR/TCGA-PRAD.TUMOR.RPGRIP1_57096.wgt.RDat	RPGRIP1	14	21756136	21819458	0.0780	rs7160488	 1.81	rs6571733	 0.113905	0.000	 0.487	 54	  4	enet	0.12	2.8e-12	-0.00965	0.992303
TCGA-PRAD.TUMOR	data/Updated_PRAD.TUMOR/TCGA-PRAD.TUMOR/TCGA-PRAD.TUMOR.CHD8_57680.wgt.RDat	CHD8	14	21853358	21905404	0.1049	rs7160488	 1.81	rs11848323	-0.002545	0.000	-0.570	 48	 48	blup	0.025	0.001	-2.04292	0.041061
TCGA-PRAD.TUMOR	data/Updated_PRAD.TUMOR/TCGA-PRAD.TUMOR/TCGA-PRAD.TUMOR.RAB2B_84932.wgt.RDat	RAB2B	14	21927180	21945132	0.0484	rs1263805	 1.99	rs8023081	 0.009202	0.000	-0.422	 51	 51	blup	0.017	0.0062	 0.15925	0.873473
TCGA-PRAD.TUMOR	data/Updated_PRAD.TUMOR/TCGA-PRAD.TUMOR/TCGA-PRAD.TUMOR.TOX4_9878.wgt.RDat	TOX4	14	21945335	21967317	0.0785	NA	   NA	NA	       NA	   NA	    NA	  0	  0	top1	0.11	2.1e-11	      NA	      NA
TCGA-PRAD.TUMOR	data/Updated_PRAD.TUMOR/TCGA-PRAD.TUMOR/TCGA-PRAD.TUMOR.ABHD4_63874.wgt.RDat	ABHD4	14	23067147	23081257	0.0841	rs1263646	-2.20	rs1263646	 0.083095	0.000	-2.203	105	  4	lasso	0.089	1.5e-09	 0.91107	0.362257
TCGA-PRAD.TUMOR	data/Updated_PRAD.TUMOR/TCGA-PRAD.TUMOR/TCGA-PRAD.TUMOR.OXA1L_5018.wgt.RDat	OXA1L	14	23235731	23240998	0.0706	rs12587348	 3.32	rs1242729	 0.021084	0.000	 3.110	 78	 78	blup	0.044	2e-05	-0.17932	0.857683
TCGA-PRAD.TUMOR	data/Updated_PRAD.TUMOR/TCGA-PRAD.TUMOR/TCGA-PRAD.TUMOR.RBM23_55147.wgt.RDat	RBM23	14	23369855	23388396	0.0651	rs11157930	 2.92	rs4982697	 0.037306	0.000	 0.252	 37	  3	lasso	0.049	7.4e-06	-0.93423	0.350187
TCGA-PRAD.TUMOR	data/Updated_PRAD.TUMOR/TCGA-PRAD.TUMOR/TCGA-PRAD.TUMOR.HAUS4_54930.wgt.RDat	HAUS4	14	23415438	23426335	0.1183	rs11624528	 2.98	rs4982705	 0.153767	0.000	 1.944	 40	 40	blup	0.19	1.2e-19	 2.59335	0.009505
TCGA-PRAD.TUMOR	data/Updated_PRAD.TUMOR/TCGA-PRAD.TUMOR/TCGA-PRAD.TUMOR.C14orf167_55449.wgt.RDat	C14orf167	14	24407940	24424298	0.0518	rs10135546	 1.90	rs2146571	 0.049347	0.000	 0.445	 32	 32	blup	0.063	3.9e-07	 0.67879	0.497271
TCGA-PRAD.TUMOR	data/Updated_PRAD.TUMOR/TCGA-PRAD.TUMOR/TCGA-PRAD.TUMOR.DHRS4_10901.wgt.RDat	DHRS4	14	24422965	24475615	0.2491	rs8011375	 1.91	rs28610928	 0.157552	0.000	 0.492	 38	 27	enet	0.24	2.3e-24	-0.30129	0.763195
TCGA-PRAD.TUMOR	data/Updated_PRAD.TUMOR/TCGA-PRAD.TUMOR/TCGA-PRAD.TUMOR.DHRS4L2_317749.wgt.RDat	DHRS4L2	14	24422965	24475615	0.1364	rs8011375	 1.91	rs28610928	 0.162366	0.000	 0.492	 38	 38	blup	0.18	2e-18	 0.78503	0.432433
