PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
TCGA-SKCM.TUMOR	data/Updated_SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.WNK1_65125.wgt.RDat	WNK1	12	862225	1020617	0.191	rs2107612	 1.76	rs11064327	 0.03158	 0	-1.6150	 83	 6	lasso	0.064	0.0085	 0.404	0.6861
TCGA-SKCM.TUMOR	data/Updated_SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.HSN2_378465.wgt.RDat	HSN2	12	976870	978799	0.184	rs7300444	 1.44	rs2107615	 0.00684	 0	-0.7333	 41	41	blup	0.023	0.08	-0.640	0.5224
TCGA-SKCM.TUMOR	data/Updated_SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.LOC678655_678655.wgt.RDat	LOC678655	12	6548167	6560683	0.243	rs9669611	 2.06	rs4301834	 0.03805	 0	 1.6430	 77	77	blup	0.081	0.0035	 0.408	0.6830
TCGA-SKCM.TUMOR	data/Updated_SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.TAPBPL_55080.wgt.RDat	TAPBPL	12	6561177	6575601	0.164	NA	   NA	NA	      NA	NA	     NA	  0	 0	top1	0.12	0.00051	    NA	    NA
TCGA-SKCM.TUMOR	data/Updated_SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.CREBL2_1389.wgt.RDat	CREBL2	12	12764831	12798041	0.205	rs1014448	-3.22	rs4237941	 0.00895	 0	-0.0244	 58	 7	enet	0.1	0.0011	 0.125	0.9006
TCGA-SKCM.TUMOR	data/Updated_SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.HEBP1_50865.wgt.RDat	HEBP1	12	13127801	13153221	0.394	rs741433	-2.11	rs1291352	 0.07894	 0	 0.3381	 68	18	enet	0.17	2e-05	-1.480	0.1388
TCGA-SKCM.TUMOR	data/Updated_SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.ERP27_121506.wgt.RDat	ERP27	12	15066977	15091463	0.128	rs3748292	 1.31	rs4763401	 0.01566	 0	-0.1806	 74	74	blup	0.055	0.014	 0.145	0.8844
TCGA-SKCM.TUMOR	data/Updated_SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.PYROXD1_79912.wgt.RDat	PYROXD1	12	21590538	21624180	0.133	rs6487233	-1.57	rs12809573	 0.02524	 0	-0.7973	 91	91	blup	0.038	0.034	-1.119	0.2630
TCGA-SKCM.TUMOR	data/Updated_SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.C12orf39_80763.wgt.RDat	C12orf39	12	21679256	21684210	0.285	rs11046109	 2.96	rs2159944	 0.04649	 0	-0.3417	 83	83	blup	0.084	0.003	 1.931	0.0535
TCGA-SKCM.TUMOR	data/Updated_SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.GYS2_2998.wgt.RDat	GYS2	12	21689125	21757781	0.245	NA	   NA	NA	      NA	NA	     NA	  0	 0	top1	0.09	0.0021	    NA	    NA
TCGA-SKCM.TUMOR	data/Updated_SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.DDX11_1663.wgt.RDat	DDX11	12	31226779	31257725	0.340	NA	   NA	NA	      NA	NA	     NA	  0	 0	top1	0.41	3.2e-12	    NA	    NA
TCGA-SKCM.TUMOR	data/Updated_SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.COL2A1_1280.wgt.RDat	COL2A1	12	48366749	48398285	0.302	NA	   NA	NA	      NA	NA	     NA	  0	 0	top1	-0.0034	0.41	    NA	    NA
TCGA-SKCM.TUMOR	data/Updated_SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.HOTAIR_100124700.wgt.RDat	HOTAIR	12	54356098	54362515	0.490	rs7302703	-2.65	rs7312914	 0.07592	 0	-1.4726	 53	53	blup	0.097	0.0015	-0.418	0.6762
TCGA-SKCM.TUMOR	data/Updated_SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.HOXC11_3227.wgt.RDat	HOXC11	12	54366910	54370201	0.303	rs7302703	-2.65	rs7297554	 0.00164	 0	-1.4897	 57	57	blup	0.1	0.0011	-1.146	0.2517
TCGA-SKCM.TUMOR	data/Updated_SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.HOXC10_3226.wgt.RDat	HOXC10	12	54378946	54384060	0.333	rs7302703	-2.65	rs1867299	 0.02193	 0	-1.0774	 56	56	blup	0.065	0.0082	-2.287	0.0222
TCGA-SKCM.TUMOR	data/Updated_SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.SMUG1_23583.wgt.RDat	SMUG1	12	54573783	54582757	0.285	rs7296239	-1.46	rs10506327	 0.12155	 0	 0.4711	 42	15	enet	0.18	1.9e-05	-0.593	0.5531
