PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
TCGA-PRAD.TUMOR	data/TCGA-PRAD.TUMOR/TCGA-PRAD.TUMOR/TCGA-PRAD.TUMOR.psiTPTE22_387590.wgt.RDat	psiTPTE22	22	17082801	17179521	0.0993	rs9605028	 -2.44	rs11089263	 1.24e-01	 -7.03	-1.085	 31	  1	top1	0.12	6e-13	 1.0850	2.78e-01
TCGA-PRAD.TUMOR	data/TCGA-PRAD.TUMOR/TCGA-PRAD.TUMOR/TCGA-PRAD.TUMOR.CECR7_100130418.wgt.RDat	CECR7	22	17517460	17539682	0.1170	rs17806741	  3.41	rs5748829	 4.09e-02	  4.84	 0.461	 61	  7	lasso	0.092	7.6e-10	-0.2990	7.65e-01
TCGA-PRAD.TUMOR	data/TCGA-PRAD.TUMOR/TCGA-PRAD.TUMOR/TCGA-PRAD.TUMOR.IL17RA_23765.wgt.RDat	IL17RA	22	17565849	17591387	0.1909	rs12159416	  2.86	rs2895332	 5.80e-02	 -6.85	 0.871	 77	 10	enet	0.16	1.6e-16	-1.5138	1.30e-01
TCGA-PRAD.TUMOR	data/TCGA-PRAD.TUMOR/TCGA-PRAD.TUMOR/TCGA-PRAD.TUMOR.CECR4_100130717.wgt.RDat	CECR4	22	17640279	17646334	0.0654	rs5748917	 -1.28	rs3171599	 5.00e-02	 -5.59	-0.166	 69	  5	enet	0.066	1.7e-07	-0.2105	8.33e-01
TCGA-PRAD.TUMOR	data/TCGA-PRAD.TUMOR/TCGA-PRAD.TUMOR/TCGA-PRAD.TUMOR.CECR1_51816.wgt.RDat	CECR1	22	17660192	17702738	0.1858	rs2058119	 -3.13	rs1076106	 1.68e-01	 -8.63	 1.211	 79	 14	enet	0.21	1.4e-21	-1.0542	2.92e-01
TCGA-PRAD.TUMOR	data/TCGA-PRAD.TUMOR/TCGA-PRAD.TUMOR/TCGA-PRAD.TUMOR.FLJ41941_100192420.wgt.RDat	FLJ41941	22	18512151	18520734	0.0999	rs17207304	  2.35	rs9605500	 9.35e-02	 -6.15	 0.160	 72	  1	top1	0.093	5.4e-10	-0.1600	8.73e-01
TCGA-PRAD.TUMOR	data/TCGA-PRAD.TUMOR/TCGA-PRAD.TUMOR/TCGA-PRAD.TUMOR.DGCR6_8214.wgt.RDat	DGCR6	22	18893541	18899600	0.2986	rs413280	 -2.33	rs17742907	 8.95e-02	 -7.51	 1.323	 27	 11	enet	0.17	6.2e-18	-0.8738	3.82e-01
TCGA-PRAD.TUMOR	data/TCGA-PRAD.TUMOR/TCGA-PRAD.TUMOR/TCGA-PRAD.TUMOR.PRODH_5625.wgt.RDat	PRODH	22	18900295	18924066	0.0759	rs413280	 -2.33	rs5747950	 4.96e-02	 -5.37	 0.104	 40	 40	blup	0.081	7.7e-09	-1.6973	8.96e-02
TCGA-PRAD.TUMOR	data/TCGA-PRAD.TUMOR/TCGA-PRAD.TUMOR/TCGA-PRAD.TUMOR.DGCR5_26220.wgt.RDat	DGCR5	22	18958027	19018742	0.1050	rs2518805	  1.88	rs1210635	 3.58e-02	  4.82	-0.008	 75	 75	blup	0.046	1.4e-05	-0.0842	9.33e-01
TCGA-PRAD.TUMOR	data/TCGA-PRAD.TUMOR/TCGA-PRAD.TUMOR/TCGA-PRAD.TUMOR.DGCR9_25787.wgt.RDat	DGCR9	22	19005347	19007760	0.0582	rs2518805	  1.88	rs11089247	 1.02e-02	  3.52	 0.976	 55	  4	lasso	0.027	0.00069	 1.3410	1.80e-01
