PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
TCGA-BRCA.TUMOR	data/TCGA-BRCA.TUMOR/TCGA-BRCA.TUMOR/TCGA-BRCA.TUMOR.SNRNP25_79622.wgt.RDat	SNRNP25	16	103829	107668	0.08792	rs8466	-2.446	rs12927713	 2.47e-02	 -4.78	 2.083	  35	  1	top1	0.025	6.2e-06	 -2.08300	 3.73e-02
TCGA-BRCA.TUMOR	data/TCGA-BRCA.TUMOR/TCGA-BRCA.TUMOR/TCGA-BRCA.TUMOR.NPRL3_8131.wgt.RDat	NPRL3	16	134273	188672	0.04098	rs8466	-2.446	rs2562164	 8.71e-03	 -4.56	-2.315	  66	  4	lasso	0.017	0.00016	  0.27677	 7.82e-01
TCGA-BRCA.TUMOR	data/TCGA-BRCA.TUMOR/TCGA-BRCA.TUMOR/TCGA-BRCA.TUMOR.ITFG3_83986.wgt.RDat	ITFG3	16	284801	319942	0.02481	rs1122794	-1.694	rs2239739	 9.84e-03	 -3.68	-0.042	  65	  1	top1	0.0098	0.0032	  0.04200	 9.66e-01
TCGA-BRCA.TUMOR	data/TCGA-BRCA.TUMOR/TCGA-BRCA.TUMOR/TCGA-BRCA.TUMOR.RGS11_8786.wgt.RDat	RGS11	16	318310	325914	0.03808	rs1122794	-1.694	rs2685126	-5.72e-04	  3.52	 0.161	  59	 59	blup	0.015	0.00038	  0.32116	 7.48e-01
TCGA-BRCA.TUMOR	data/TCGA-BRCA.TUMOR/TCGA-BRCA.TUMOR/TCGA-BRCA.TUMOR.TMEM8A_58986.wgt.RDat	TMEM8A	16	420777	431978	0.03321	rs7185254	-2.057	rs3830160	 3.18e-02	  6.19	-0.292	  51	 51	blup	0.035	8.1e-08	 -0.00345	 9.97e-01
TCGA-BRCA.TUMOR	data/TCGA-BRCA.TUMOR/TCGA-BRCA.TUMOR/TCGA-BRCA.TUMOR.DECR2_26063.wgt.RDat	DECR2	16	451858	462486	0.08354	rs7185254	-2.057	rs3743895	 4.79e-02	  7.06	 0.078	  43	 14	enet	0.092	3e-18	 -0.20256	 8.39e-01
TCGA-BRCA.TUMOR	data/TCGA-BRCA.TUMOR/TCGA-BRCA.TUMOR/TCGA-BRCA.TUMOR.PIGQ_9091.wgt.RDat	PIGQ	16	617032	634108	0.01564	rs4144003	 2.424	rs4984898	 6.18e-03	 -4.00	 2.366	  48	 48	blup	0.013	0.00088	 -1.87352	 6.10e-02
TCGA-BRCA.TUMOR	data/TCGA-BRCA.TUMOR/TCGA-BRCA.TUMOR/TCGA-BRCA.TUMOR.WFIKKN1_117166.wgt.RDat	WFIKKN1	16	679239	684116	0.14806	rs4144003	 2.424	rs2269561	 2.05e-01	 12.87	 0.782	  47	  1	top1	0.21	5.9e-41	  0.78200	 4.34e-01
TCGA-BRCA.TUMOR	data/TCGA-BRCA.TUMOR/TCGA-BRCA.TUMOR/TCGA-BRCA.TUMOR.C16orf13_84326.wgt.RDat	C16orf13	16	684429	686347	0.02017	rs4144003	 2.424	rs34775748	 2.97e-02	  5.14	 0.392	  46	  1	top1	0.03	7.7e-07	  0.39200	 6.95e-01
TCGA-BRCA.TUMOR	data/TCGA-BRCA.TUMOR/TCGA-BRCA.TUMOR/TCGA-BRCA.TUMOR.WDR90_197335.wgt.RDat	WDR90	16	699363	717829	0.00845	rs9937369	-2.526	rs11640115	 3.85e-03	 -3.51	 0.739	  55	  3	lasso	0.0082	0.0066	 -0.85002	 3.95e-01
