PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
TCGA-BRCA.TUMOR	data/Updated_BRCA.TUMOR/TCGA-BRCA.TUMOR/TCGA-BRCA.TUMOR.SIRT3_23410.wgt.RDat	SIRT3	11	214625	236931	0.03899	rs505404	 2.81	rs3802985	 1.17e-02	 0.00	-0.321	 76	 76	blup	0.027	2e-06	 0.8482	3.96e-01
TCGA-BRCA.TUMOR	data/Updated_BRCA.TUMOR/TCGA-BRCA.TUMOR/TCGA-BRCA.TUMOR.PSMD13_5719.wgt.RDat	PSMD13	11	236808	252984	0.02498	NA	   NA	NA	       NA	   NA	    NA	  0	  0	top1	0.026	3.4e-06	     NA	      NA
TCGA-BRCA.TUMOR	data/Updated_BRCA.TUMOR/TCGA-BRCA.TUMOR/TCGA-BRCA.TUMOR.IFITM2_10581.wgt.RDat	IFITM2	11	308107	309409	0.08077	rs741738	-3.85	rs12274855	 2.90e-02	 0.00	 0.095	 54	  3	lasso	0.039	1.4e-08	-1.4638	1.43e-01
TCGA-BRCA.TUMOR	data/Updated_BRCA.TUMOR/TCGA-BRCA.TUMOR/TCGA-BRCA.TUMOR.IFITM3_10410.wgt.RDat	IFITM3	11	319673	320914	0.10123	rs741738	-3.85	rs7948797	 9.98e-02	 0.00	-0.288	 57	  3	lasso	0.11	1.6e-21	-2.9747	2.93e-03
TCGA-BRCA.TUMOR	data/Updated_BRCA.TUMOR/TCGA-BRCA.TUMOR/TCGA-BRCA.TUMOR.ANO9_338440.wgt.RDat	ANO9	11	417930	442011	0.02341	rs10794323	 4.05	rs11246132	-8.77e-04	 0.00	 2.336	 50	 50	blup	0.0077	0.0083	 2.3564	1.85e-02
TCGA-BRCA.TUMOR	data/Updated_BRCA.TUMOR/TCGA-BRCA.TUMOR/TCGA-BRCA.TUMOR.RNH1_6050.wgt.RDat	RNH1	11	494512	507273	0.05696	NA	   NA	NA	       NA	   NA	    NA	  0	  0	top1	0.044	2e-09	     NA	      NA
TCGA-BRCA.TUMOR	data/Updated_BRCA.TUMOR/TCGA-BRCA.TUMOR/TCGA-BRCA.TUMOR.IRF7_3665.wgt.RDat	IRF7	11	612556	615999	0.03395	rs4963126	-2.87	rs1599726	 2.69e-02	 0.00	 1.135	 46	 46	blup	0.029	9.9e-07	-0.2748	7.83e-01
TCGA-BRCA.TUMOR	data/Updated_BRCA.TUMOR/TCGA-BRCA.TUMOR/TCGA-BRCA.TUMOR.SCT_6343.wgt.RDat	SCT	11	626313	627173	0.03075	rs4963126	-2.87	rs11246197	 2.60e-03	 0.00	-1.763	 41	 41	blup	0.009	0.0047	 2.2120	2.70e-02
TCGA-BRCA.TUMOR	data/Updated_BRCA.TUMOR/TCGA-BRCA.TUMOR/TCGA-BRCA.TUMOR.DRD4_1815.wgt.RDat	DRD4	11	637305	640703	0.02764	rs4963126	-2.87	rs4963128	 8.12e-03	 0.00	 1.630	 48	 48	blup	0.013	9e-04	 1.9335	5.32e-02
TCGA-BRCA.TUMOR	data/Updated_BRCA.TUMOR/TCGA-BRCA.TUMOR/TCGA-BRCA.TUMOR.DEAF1_10522.wgt.RDat	DEAF1	11	644225	695740	0.02423	NA	   NA	NA	       NA	   NA	    NA	  0	  0	top1	0.018	0.00012	     NA	      NA
