PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
TCGA-OV.TUMOR	data/Updated_OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.FSIP1_161835.wgt.RDat	FSIP1	15	39892234	40075039	0.0890	rs7165067	 3.816	rs2618157	 2.41e-02	 0.000	 2.667	134	  4	lasso	0.036	0.0017	-0.3729	0.7092
TCGA-OV.TUMOR	data/Updated_OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.PLCB2_5330.wgt.RDat	PLCB2	15	40580099	40600174	0.1307	rs7174448	 2.485	rs8037267	 2.07e-02	 1.215	 0.485	 60	  3	lasso	0.054	0.00014	 0.1007	0.9198
TCGA-OV.TUMOR	data/Updated_OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.DISP2_85455.wgt.RDat	DISP2	15	40650434	40663256	0.3143	rs7174448	 2.485	rs28602975	 2.27e-01	 0.000	 0.989	 50	  5	enet	0.28	2.8e-19	-2.3957	0.0166
TCGA-OV.TUMOR	data/Updated_OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.C15orf23_90417.wgt.RDat	C15orf23	15	40674922	40686488	0.0606	NA	    NA	NA	       NA	    NA	    NA	  0	  0	top1	0.044	0.00057	     NA	    NA
TCGA-OV.TUMOR	data/Updated_OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.C15orf57_90416.wgt.RDat	C15orf57	15	40823540	40857252	0.1426	NA	    NA	NA	       NA	    NA	    NA	  0	  0	top1	0.16	1.1e-10	     NA	    NA
TCGA-OV.TUMOR	data/Updated_OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.MRPL42P5_359821.wgt.RDat	MRPL42P5	15	40823540	40846104	0.0569	NA	    NA	NA	       NA	    NA	    NA	  0	  0	top1	0.033	0.0026	     NA	    NA
TCGA-OV.TUMOR	data/Updated_OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.FAM82A2_55177.wgt.RDat	FAM82A2	15	41028086	41048049	0.0431	rs11558807	 2.202	rs1142468	 3.66e-02	 0.000	-1.129	 25	  3	lasso	0.043	0.00068	-1.0362	0.3001
TCGA-OV.TUMOR	data/Updated_OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.RPAP1_26015.wgt.RDat	RPAP1	15	41809377	41836464	0.0731	rs316617	-3.209	rs34040639	 2.20e-02	 0.000	-2.893	 56	 56	blup	0.037	0.0015	 1.3361	0.1815
TCGA-OV.TUMOR	data/Updated_OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.SPTBN5_51332.wgt.RDat	SPTBN5	15	42140345	42186275	0.1065	rs1672460	 2.543	rs2925339	 7.69e-02	 0.000	 0.345	 78	 78	blup	0.078	5.7e-06	-2.1790	0.0293
TCGA-OV.TUMOR	data/Updated_OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.TUBGCP4_27229.wgt.RDat	TUBGCP4	15	43663313	43698238	0.0424	rs4296223	-3.282	rs573615	 2.03e-03	 0.000	-2.947	 50	 50	blup	0.0039	0.16	-2.0872	0.0369
TCGA-OV.TUMOR	data/Updated_OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.STRC_161497.wgt.RDat	STRC	15	43891762	43924561	0.0802	NA	    NA	NA	       NA	    NA	    NA	  0	  0	top1	0.055	0.00014	     NA	    NA
TCGA-OV.TUMOR	data/Updated_OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.CATSPER2_117155.wgt.RDat	CATSPER2	15	43922774	43959900	0.0307	NA	    NA	NA	       NA	    NA	    NA	  0	  0	top1	0.024	0.0091	     NA	    NA
TCGA-OV.TUMOR	data/Updated_OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.TRIM69_140691.wgt.RDat	TRIM69	15	45021219	45060025	0.0779	rs1720723	-1.976	rs12594463	 6.14e-02	 0.000	 0.104	 73	  4	lasso	0.078	6.1e-06	 0.8202	0.4121
TCGA-OV.TUMOR	data/Updated_OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.SPATA5L1_79029.wgt.RDat	SPATA5L1	15	45694519	45713614	0.0579	NA	    NA	NA	       NA	    NA	    NA	  0	  0	top1	0.085	2.1e-06	     NA	    NA
TCGA-OV.TUMOR	data/Updated_OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.DTWD1_56986.wgt.RDat	DTWD1	15	49913226	49937332	0.0316	rs2414010	 2.867	rs1911614	 1.06e-02	 0.000	 0.867	 27	 27	blup	0.025	0.0081	 1.0118	0.3116
TCGA-OV.TUMOR	data/Updated_OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.ATP8B4_79895.wgt.RDat	ATP8B4	15	50150436	50411419	0.1210	rs4520793	 3.698	rs873107	 2.73e-02	 0.000	-3.045	195	195	blup	0.058	8.5e-05	 1.7590	0.0786
TCGA-OV.TUMOR	data/Updated_OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.FLJ10038_55056.wgt.RDat	FLJ10038	15	50641137	50647076	0.1415	rs6493430	-1.974	rs2081628	 2.28e-02	 0.000	-1.800	 27	 27	blup	0.065	3.4e-05	 1.4620	0.1437
TCGA-OV.TUMOR	data/Updated_OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.ARPP19_10776.wgt.RDat	ARPP19	15	52839432	52861364	0.0954	NA	    NA	NA	       NA	    NA	    NA	  0	  0	top1	0.053	0.00017	     NA	    NA
TCGA-OV.TUMOR	data/Updated_OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.UNC13C_440279.wgt.RDat	UNC13C	15	54305101	54920805	0.2424	rs2681962	-2.339	rs4145152	-2.60e-03	 0.000	-0.483	365	365	blup	0.065	3.6e-05	 0.4669	0.6406
TCGA-OV.TUMOR	data/Updated_OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.RPS27L_51065.wgt.RDat	RPS27L	15	63445540	63449741	0.0782	NA	    NA	NA	       NA	    NA	    NA	  0	  0	top1	0.088	1.5e-06	     NA	    NA
TCGA-OV.TUMOR	data/Updated_OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.APH1B_83464.wgt.RDat	APH1B	15	63569749	63601324	0.0599	rs3784671	-2.011	rs11853804	 2.15e-02	 0.000	 0.480	 45	 45	blup	0.029	0.0046	-0.9135	0.3610
TCGA-OV.TUMOR	data/Updated_OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.TRIP4_9325.wgt.RDat	TRIP4	15	64680020	64747500	0.0599	rs12593770	-2.435	rs12903745	 3.99e-02	 0.000	 0.913	 41	  7	enet	0.059	8.2e-05	-0.0347	0.9723
TCGA-OV.TUMOR	data/Updated_OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.OAZ2_4947.wgt.RDat	OAZ2	15	64979773	64995462	0.1396	rs34000846	-2.408	rs4777499	 1.34e-02	 0.000	-0.003	 32	 13	enet	0.037	0.0015	-1.3727	0.1698
TCGA-OV.TUMOR	data/Updated_OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.ANKDD1A_348094.wgt.RDat	ANKDD1A	15	65204101	65251039	0.1109	rs1043690	-2.700	rs16948311	 1.37e-02	 0.000	-2.604	 55	 55	blup	0.032	0.0029	 1.1779	0.2388
TCGA-OV.TUMOR	data/Updated_OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.DPP8_54878.wgt.RDat	DPP8	15	65737999	65810035	0.0721	NA	    NA	NA	       NA	    NA	    NA	  0	  0	top1	0.027	0.0058	     NA	    NA
TCGA-OV.TUMOR	data/Updated_OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.C15orf44_81556.wgt.RDat	C15orf44	15	65871120	65903469	0.0677	rs8027633	 1.790	rs430515	 2.14e-02	 0.000	 0.998	 34	 34	blup	0.025	0.0074	-1.4493	0.1473
TCGA-OV.TUMOR	data/Updated_OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.DENND4A_10260.wgt.RDat	DENND4A	15	65952959	66084631	0.0448	rs1435126	-1.832	rs4366668	 1.94e-02	 0.000	-1.148	 67	 67	blup	0.021	0.013	 0.2012	0.8405
TCGA-OV.TUMOR	data/Updated_OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.IQCH_64799.wgt.RDat	IQCH	15	67547188	67794139	0.1141	rs11639472	 1.389	rs2289262	 9.89e-02	 0.000	 0.417	112	112	blup	0.1	2.3e-07	-0.2567	0.7974
TCGA-OV.TUMOR	data/Updated_OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.ANP32A_8125.wgt.RDat	ANP32A	15	69070877	69113261	0.0667	rs4485298	 2.194	rs7162639	 9.27e-04	 0.000	-0.343	 47	  5	lasso	0.0053	0.13	 1.4996	0.1337
TCGA-OV.TUMOR	data/Updated_OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.C15orf28_80035.wgt.RDat	C15orf28	15	69096160	69099440	0.0660	NA	    NA	NA	       NA	    NA	    NA	  0	  0	top1	0.042	0.00082	     NA	    NA
TCGA-OV.TUMOR	data/Updated_OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.MPI_4351.wgt.RDat	MPI	15	75182410	75190565	0.0920	rs17336243	-1.486	rs881536	 7.32e-02	 0.000	 0.549	 36	 36	blup	0.081	3.9e-06	-1.2574	0.2086
TCGA-OV.TUMOR	data/Updated_OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.SCAMP5_192683.wgt.RDat	SCAMP5	15	75287901	75313836	0.1335	rs4886649	 1.278	rs2415251	 1.30e-01	 0.000	-0.587	 41	 41	blup	0.16	6.9e-11	 0.1775	0.8591
TCGA-OV.TUMOR	data/Updated_OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.SNX33_257364.wgt.RDat	SNX33	15	75941348	75950966	0.0747	NA	    NA	NA	       NA	    NA	    NA	  0	  0	top1	0.06	7.1e-05	     NA	    NA
TCGA-OV.TUMOR	data/Updated_OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.ETFA_2108.wgt.RDat	ETFA	15	76508629	76603810	0.2599	NA	    NA	NA	       NA	    NA	    NA	  0	  0	top1	0.026	0.0069	     NA	    NA
TCGA-OV.TUMOR	data/Updated_OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.RCN2_5955.wgt.RDat	RCN2	15	77223962	77242600	0.1548	NA	    NA	NA	       NA	    NA	    NA	  0	  0	top1	0.044	0.00061	     NA	    NA
TCGA-OV.TUMOR	data/Updated_OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.LOC645752_645752.wgt.RDat	LOC645752	15	78206559	78219188	0.1735	NA	    NA	NA	       NA	    NA	    NA	  0	  0	top1	0.053	0.00018	     NA	    NA
TCGA-OV.TUMOR	data/Updated_OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.TBC1D2B_23102.wgt.RDat	TBC1D2B	15	78287328	78369994	0.0660	NA	    NA	NA	       NA	    NA	    NA	  0	  0	top1	0.046	0.00043	     NA	    NA
TCGA-OV.TUMOR	data/Updated_OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.CIB2_10518.wgt.RDat	CIB2	15	78396991	78423878	0.1073	NA	    NA	NA	       NA	    NA	    NA	  0	  0	top1	0.12	2.3e-08	     NA	    NA
TCGA-OV.TUMOR	data/Updated_OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.CHRNA5_1138.wgt.RDat	CHRNA5	15	78857906	78886458	0.0319	rs11636753	-2.588	rs12591557	 1.35e-02	 0.000	-1.400	 50	  4	enet	0.035	0.0021	-0.2941	0.7687
TCGA-OV.TUMOR	data/Updated_OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.MTHFS_10588.wgt.RDat	MTHFS	15	80137320	80189370	0.1375	rs898436	-2.607	rs16971353	 1.03e-01	 0.000	-1.788	 82	  3	lasso	0.1	1.9e-07	-1.6396	0.1011
TCGA-OV.TUMOR	data/Updated_OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.ZFAND6_54469.wgt.RDat	ZFAND6	15	80352021	80430710	0.0860	rs12914081	-3.504	rs1074979	 1.31e-02	 0.000	-0.624	 67	 67	blup	0.029	0.0046	 1.4106	0.1583
TCGA-OV.TUMOR	data/Updated_OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.EFTUD1_79631.wgt.RDat	EFTUD1	15	82422561	82555104	0.0547	NA	    NA	NA	       NA	    NA	    NA	  0	  0	top1	0.024	0.0088	     NA	    NA
TCGA-OV.TUMOR	data/Updated_OV.TUMOR/TCGA-OV.TUMOR/TCGA-OV.TUMOR.GOLGA6L10_647042.wgt.RDat	GOLGA6L10	15	82633124	82637131	0.0757	rs11856590	 1.873	rs4778672	 2.25e-02	 0.000	-0.187	 21	  7	enet	0.049	3e-04	-1.4725	0.1409
