"","PANEL","FILE","ID","CHR","P0","P1","HSQ","BEST.GWAS.ID","BEST.GWAS.Z","EQTL.ID","EQTL.R2","EQTL.Z","EQTL.GWAS.Z","NSNP","NWGT","MODEL","MODELCV.R2","MODELCV.PV","TWAS.Z","TWAS.P","POS","cancer_type"
"1","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.PLEKHN1_84069.wgt.RDat","PLEKHN1","1",901877,910482,0.3651,"rs13303010",1.498,"rs1110052",-0.01032,-2.95,0.0066,34,19,"enet",0.034,0.043,-0.8206,0.4119,906179.5,"Melanoma"
"2","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.LOC100133612_100133612.wgt.RDat","LOC100133612","1",3816968,3833877,0.1516,"rs10797351",-2.354,"rs7544191",0.03341,-3.32,-1.0058,25,4,"lasso",0.038,0.035,1.0057,0.3145,3825422.5,"Melanoma"
"3","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.UTS2_10911.wgt.RDat","UTS2","1",7903144,7973294,0.2259,"rs2797682",1.685,"rs228636",0.05606,-3.47,-0.4512,76,76,"blup",0.089,0.0022,0.7275,0.4669,7938219,"Melanoma"
"4","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.SLC2A5_6518.wgt.RDat","SLC2A5","1",9097007,9148510,0.4401,"rs770041",-3.103,"rs2505972",0.19329,-5.04,1.4318,68,68,"blup",0.24,5.1e-07,-0.8773,0.3803,9122758.5,"Melanoma"
"5","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.C1orf126_200197.wgt.RDat","C1orf126","1",15438312,15478960,0.2153,"rs12145963",-2.812,"rs9659498",0.14166,4.02,1.4096,98,1,"top1",0.14,0.00013,1.4096,0.1587,15458636,"Melanoma"
"6","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.SPEN_23013.wgt.RDat","SPEN","1",16174359,16266950,0.1814,"rs698894",-1.71,"rs848209",0.03188,-3.4,-0.0262,71,1,"top1",0.032,0.049,0.0262,0.9791,16220654.5,"Melanoma"
"7","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.ARHGEF19_128272.wgt.RDat","ARHGEF19","1",16524599,16539104,0.2206,"rs4661721",-2.186,"rs221035",0.21737,4.55,-1.1126,58,1,"top1",0.22,1.7e-06,-1.1126,0.2659,16531851.5,"Melanoma"
"8","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.NBPF3_84224.wgt.RDat","NBPF3","1",21766631,21811392,0.3033,"rs12145027",1.621,"rs1976403",0.19327,5.04,-1.5673,46,46,"blup",0.26,1.3e-07,-1.0385,0.299,21789011.5,"Melanoma"
"9","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.HSPC157_29092.wgt.RDat","HSPC157","1",22351707,22357713,0.2776,"rs17837965",-1.402,"rs11586488",0.3161,5.43,0.4699,29,1,"top1",0.32,3.3e-09,0.4699,0.6384,22354710,"Melanoma"
"10","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.RHCE_6006.wgt.RDat","RHCE","1",25688741,25756683,0.2894,"rs1293259",0.828,"rs666686",0.0337,-3.02,0.5302,17,1,"top1",0.034,0.044,-0.5302,0.596,25722712,"Melanoma"
"11","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.DNAJC8_22826.wgt.RDat","DNAJC8","1",28526792,28559542,0.5179,"rs313151",-1.86,"rs10494394",0.12988,-3.66,0.167,35,8,"enet",0.19,9.3e-06,-0.0466,0.9629,28543167,"Melanoma"
"12","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.MTMR9L_339483.wgt.RDat","MTMR9L","1",32697262,32707311,0.1498,"rs12129323",-2.06,"rs589034",0.02135,2.97,1.0241,29,29,"blup",0.085,0.0028,0.7282,0.4665,32702286.5,"Melanoma"
"13","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.DNALI1_7802.wgt.RDat","DNALI1","1",38022520,38032457,0.4896,"rs2036637",1.789,"rs7514254",0.04335,-4.58,-0.9411,41,7,"lasso",0.31,4.7e-09,1.4188,0.156,38027488.5,"Melanoma"
"14","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.TRIT1_54802.wgt.RDat","TRIT1","1",40306708,40349177,0.2879,"rs230310",-2.389,"rs12123609",0.19294,-4.45,0.1924,60,1,"top1",0.19,7.1e-06,-0.1924,0.8474,40327942.5,"Melanoma"
"15","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.KIAA0467_23334.wgt.RDat","KIAA0467","1",43855556,43918304,0.1677,"rs2069385",-1.165,"rs1760670",0.0812,3.93,0.078,52,52,"blup",0.13,0.00029,-0.0128,0.9898,43886930,"Melanoma"
"16","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.CCDC163P_126661.wgt.RDat","CCDC163P","1",45960581,45965646,0.2879,"rs945179",-2.305,"rs945179",0.02932,3.27,-2.3046,37,3,"lasso",0.04,0.031,-2.0449,0.0409,45963113.5,"Melanoma"
"17","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.GPX7_2882.wgt.RDat","GPX7","1",53068043,53074722,0.1929,"rs7529595",2.681,"rs835337",0.09606,4.13,1.5508,46,46,"blup",0.14,0.00014,2.3532,0.0186,53071382.5,"Melanoma"
"18","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.LRRIQ3_127255.wgt.RDat","LRRIQ3","1",74491704,74663871,0.3151,"rs10493533",-1.907,"rs11806946",0.24033,-5.13,-0.0838,75,75,"blup",0.25,1.8e-07,0.2631,0.7925,74577787.5,"Melanoma"
"19","TCGA-SKCM.TUMOR","data/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR/TCGA-SKCM.TUMOR.CRYZ_1429.wgt.RDat","CRYZ","1",75171175,75199092,0.5489,"rs10789400",-1.81,"rs277374",0.2203,4.62,0.2423,54,1,"top1",0.22,1.4e-06,0.2423,0.8085,75185133.5,"Melanoma"
